Myanmar,English
အိမ်မှာ ခွေးနဲ့ ကြောင် ရှိတယ်။,There are a dog and a cat in my house
ဒီအခန်းရဲ့ နံရံက ပါးလို့ အသံ တိုးတိုးနဲ့ စကားပြောတယ်။,The wall of this room is thin so I will talk quietly
မနေ့က ပိုက်ဆံအိတ်အသစ် ဝယ်လိုက်တယ်။,Yesterday I bought a new wallet
နေ့တိုင်း တီဗွီ ကြည့်ပြီး ဂျပန်စာကို မှတ်တယ်။,I remember Japanese by watching TV every day
နိုင်ငံခြားမှာ အလုပ်လုပ်ဖို့ စိတ်ကူးနေတယ်။,I am thinking of working abroad
မင်းတို့ သွားရင် ငါလည်း သွားမယ်။,If everyone is going then I will go too
လေကြောင်းလိုင်းနဲ့ ပို့လိုက်လို့ နည်းနည်း ဈေးများတယ်။,I sent it by airmail so it was a little bit expensive
ဒီနေရာက ဒုတိယထပ်ပါ။,This is the second floor
နှစ်တိုင်း အမေ့ကို မွေးနေ့လက်ဆောင် ပေးတယ်။,Every year I give my mother a present on her birthday
အအေးမိသွားလို့ ဆေးသောက်မယ်။,Im going to take some medicine because I have a cold
ဒီအိမ်မှာ တစ်ယောက်ယောက် နေနေသလိုပဲ။,It feels like someone is living in this house
ခဏလောက် စောင့်ပါ။,Please wait a second
မစ္စတာယာမာဒါရဲ့ ညီမလေးက အရပ်က ပုပုလေးနဲ့ ချစ်စရာ ကောင်းတယ်။,Mr Yamadas little sister is short and cute
ဒီမုန့်က စားလို့ ကောင်းတယ်။,This snack is yummy
ညီမလေးက ဂျပန်စာဆရာမ လုပ်ဖို့ စိတ်ကူးနေတယ်။,My little sister wants to become a Japanese teacher
မနေ့က မစ္စတာယာမာဒါဆီက ခရီးအပြန်လက်ဆောင် ရခဲ့တယ်။,Yesterday I received a souvenir from Mr Yamada
ဒီစာအုပ်က စိတ်ဝင်စားဖို့မကောင်းဘူး။,This book is boring
မနေ့က သစ်ပင်ကို ခုတ်လိုက်တယ်။,Yesterday I cut down a tree
ကျွန်တော် ပထမဆုံးအကြိမ် မစ္စတာဟယရှိနဲ့ တွေ့ခဲ့တယ်။,I met Mr Hayashi for the first time
ကျွန်တော် ဂျပန်စာအဘိဓာန် လိုချင်တယ်။,I want a Japanese dictionary
ဂျပန်မှာ အသက်နှစ်ဆယ်ကစပြီး အရက် သောက်လို့ရတယ်။,In Japan we can drink at twenty years of age
ဒီတက္ကသိုလ်က ရှေးကျပြီး နာမည်ကြီးတယ်။,This university is old and famous
ဟုတ်တယ်။,Yes that is true
နှင်းကျတဲ့နေ့ဆို အပြင်မထွက်ဘူး။,I will not go out when it snows
ရေကြောင်းနဲ့ စာပို့ရင် အချိန် အရမ်း ကြာတယ်။,If you send a letter by sea it will take time
ရှစ်လပိုင်း တစ်ရက်နေ့ကနေ ကိုးလပိုင်း သုံးဆယ်ရက်နေ့အထိက နွေရာသီပိတ်ရက်ပါ။,Our summer vacation is from  August to  September
ဘူတာရဲ့ အနောက်မှာ စူပါမားကက် ရှိတယ်။,There is a supermarket behind the station
လစဉ် ဘဏ်မှာ ငွေအပ်တယ်။,Every month I deposit money in the bank
စာရေးခုံပေါ်မှာ ပြက္ခဒိန် ထားထားတယ်။,There is a calendar on the desk
အိမ်က မထွက်ခင် အထုပ်ကို စစ်တယ်။,I will check my belongings before I leave the house
ဆောင်းဦးက အေးမြတယ်။,It is cool in autumn
အိမ်ကခြံထဲမှာ သစ်ပင် နှစ်ပင် ရှိတယ်။,There are two trees in my garden
ဒီအခန်းက ပြတင်းပေါက် မရှိဘူး။,This room has no window
ကျွန်တော် မနက်တိုင်း လမ်းလျှောက် ထွက်တယ်။,I go for a walk every morning
ဒီနေ့ စာမဖတ်လို့မရပေမဲ့ မနက်ဖန်ဆိုရင်တော့ ဖြစ်ပါတယ်။,I have to study today but tomorrow will work
အရက်သောက်ပြီးတဲ့အခါ ရေသောက်ပေးရင် ကောင်းတယ်။,After drinking alcohol it is good to drink water
နားရက်မှာ မိုးရွာရင်တော့ အပြင်မထွက်ဘူး။,I will not go out on holidays if it rains
ဒီစာအုပ်က အလျားထက်စာရင် အနံက ပိုရှည်တယ်။,This notebook is wider than it is tall
မိုး နည်းနည်း အုံ့လာပြီ။,The sky is starting to get cloudy
မနေ့ညက ပင်ပန်းလို့ အစောကြီး အိပ်တယ်။,I went to sleep early last night because I was tired
လင်းလင်းထိန်ထိန် ရှိတဲ့ နေရာမှာ စာဖတ်တယ်။,I will study somewhere bright
ကျောင်းကနေ အိမ်အထိ ခြေလျင်လျှောက်တယ်။,I will walk from school to my house
ဈေးဝယ်တဲ့အခါ ခရက်ဒစ်ကတ်ကို သုံးတယ်။,We use the card when we shop
ပြတင်းပေါက် ဖွင့်ထားတယ်။,The window is open
ဘယ်ဟာ အရသာ အရှိဆုံးလဲ။,Which one is the most delicious
အလှပြင်ဆိုင်က ဘူတာရဲ့ ဘေးမှာ ရှိတယ်။,The beauty salon is next to the station
ဘေးကစာသင်ခန်းက အယောက်တစ်ရာလောက် ဆံ့တယ်။,A hundred people can fit in the room next to ours
မစ္စတာခိမုရက ကျွန်တော့်ကို မုန့် ပေးတယ်။,Ms Kimura gave me a snack
စာမေးပွဲအဖြေကို ပြန်စစ်တယ်။,I will check the answers for the test
ဒီလွယ်အိတ်က အပြင်ဘက်ခြမ်းမှာ အိတ်ကပ် ရှိတယ်။,This bag has an external side pocket
ကျွန်တော် နေ့တိုင်း တင်းနစ် လေ့ကျင့်တယ်။,I practise tennis every day
ဆိုင်ရှေ့မှာ ကား လေးစီး ရပ်ထားတယ်။,There are four cars parked in front of the shop
မစ္စတာတာနာခါရဲ့ အိမ်မှာ ကား နှစ်စီး ရှိတယ်။,There are two cars in Mr Tanakas house
ဒီနာရီ ကျိန်းသေ ဈေးကြီးမှာ သေချာတယ်။,This watch must be expensive
တစ်နေ့က အေးလို့ နှင်းတွေ ကျတယ်။,It was cold the day before yesterday so it snowed
အဲဒီဆိုင်က ဈေးပေါပေမဲ့ စားလို့ မကောင်းဘူး။,That shop is cheap but the food does not taste good
ကျွန်တော် နွေရာသီပိတ်ရက်မှာ ခရီးထွက်တယ်။,I travelled during summer vacation
ဒီအနီးတဝိုက်ကပင်လယ်က ညစ်ပတ်တယ်။,The sea around here is dirty
ဆောင်းတွင်း ရောက်ရင် ဂျပန်ရဲ့ မြောက်ဘက်ပိုင်းမှာ အရမ်း အေးတယ်။,During the winter the northern part of Japan gets very cold
ဟိုကသစ်ပင်ပေါ်မှာ ငှက် ရှိတယ်။,There is a bird on top of that tree
မနက် အိပ်ရာထတဲ့အခါ မင်္ဂလာမနက်ခင်းပါလို့ ပြောတယ်။,When we wake up we say good morning
မစ္စတာလီ ဘယ်သောက်စရာ သောက်မလဲ။,Mr Lee which drink would you like
မနေ့က ဘယ်မှ မထွက်ဘူး။,I could not go anywhere yesterday
မစ္စတာယာမာဒါက သန်စွမ်းပြီး တက်တက်ကြွကြွ ရှိတယ်။,Mr Yamada is strong and healthy
ရှေ့အပတ်က မိုး ဆက်တိုက် ရွာတယ်။,The rain continued for several days last week
ဟင်းထဲကို သကြားနဲ့ ဆား ထည့်ချက်တယ်။,I put in sugar and salt and cook a meal
ဒီဘောပင်က တုတ်တယ်။,This bread is thick
မနေ့က ပထမဆုံးအကြိမ် စန္ဒရား စသင်တယ်။,Yesterday I learned piano for the first time
ကျွန်တော် ကလေးဘတုန်းက အဲဒီပန်းခြံမှာ အမြဲ ကစားတယ်။,When I was a child I often played at that park
ကုမ္ပဏီ သွားတဲ့အခါ အနောက်တိုင်းဝတ်စုံ ဝတ်တယ်။,I wear a suit when I go to work
နောက်လမှာ တရုတ်ပြည်က ပညာတော်သင်ကျောင်းသား လာမယ်။,An international student from China will come next month
လေးတဲ့ သေတ္တာကို ယောကျ်ားလေးက သယ်မယ်။,A man will carry the heavy box
ကျေးဇူးပြုပြီး ဆောင်ရွက်ပေးပါရန် တောင်းဆိုအပ်ပါတယ်။,Please help me if Im doing something wrong
မစ္စတာခိမုရရဲ့ အထုပ်က သေးပြီး ပေါ့တယ်။,Ms Kimuras package is small and light
ဂျပန်ကနွေရာသီက ပူတယ်။,Summer in Japan is hot
ဒီအခန်းက အရမ်း တိတ်ဆိတ်တဲ့ အခန်းပါ။,This room is very quiet
ဟုတ်ကဲ့၊ ရပါတယ်။,Yes okay
ကျွန်တော် ကော်ဖီထက် လက်ဖက်ရည်ကို ပိုကြိုက်တယ်။,I like coffee more than tea
လေယာဉ်ပျံနဲ့ တိုကျိုနဲ့အိုဆာကာကို သွားလိုက်လာလိုက် လုပ်တယ်။,I go back and forth between Tokyo and Osaka by airplane
